ALEACION,Al - min,Al - max,Mg - min,Mg - max,Zn - min,Zn - max,Mn - min,Mn - max,Cu - min,Cu - max,Fe - min,Fe - max,Si - min,Si - max,Ni - min,Ni - max
5005,0,100,0.5,1.1,0,0.25,0,0.2,0,0.2,0,0.7,0,0.3,0,0.01
5006,0,100,0.8,1.3,0,0.25,0.4,0.8,0,0.1,0,0.8,0,0.4,0,0.01
5010,0,100,0.2,0.6,0,0.3,0.1,0.3,0,0.25,0,0.7,0,0.4,0,0.01
5013,0,100,3.2,3.8,0,0.1,0.3,0.5,0,0.03,0,0.25,0,0.2,0,0.01
5014,0,100,4,5.5,0.7,1.5,0.2,0.9,0,0.2,0,0.4,0,0.4,0,0.01
5016,0,100,1.4,1.9,0,0.15,0.4,0.7,0,0.2,0,0.6,0,0.25,0,0.01
5017,0,100,1.9,2.2,0,0.01,0.6,0.8,0.18,0.28,0,0.7,0,0.4,0,0.01
5018,0,100,2.6,3.6,0,0.2,0.2,0.6,0,0.05,0,0.4,0,0.25,0,0.01
5019,0,100,4.5,5.6,0,0.2,0.1,0.6,0,0.1,0,0.5,0,0.4,0,0.01
5021,0,100,2.2,2.8,0,0.15,0.1,0.5,0,0.15,0,0.5,0,0.4,0,0.01
5022,0,100,3.5,4.9,0,0.25,0,0.2,0.2,0.5,0,0.4,0,0.25,0,0.01
5023,0,100,5,6.2,0,0.25,0,0.2,0.2,0.5,0,0.4,0,0.25,0,0.01
5025,0,100,4.5,6,0,0.25,0,0.2,0,0.1,0,0.25,0,0.25,0,0.01
5034,0,100,0.6,1.1,0,0.4,0.2,0.5,0,0.4,0.4,0.9,0,0.4,0,0.01
5039,0,100,3.3,4.3,2.4,3.2,0.3,0.5,0,0.03,0,0.4,0,0.1,0,0.01
5040,0,100,1,1.5,0,0.25,0.9,1.4,0,0.25,0,0.7,0,0.3,0,0.01
5042,0,100,3,4,0,0.25,0.2,0.5,0,0.15,0,0.35,0,0.2,0,0.01
5043,0,100,0.7,1.3,0,0.25,0.7,1.2,0.05,0.35,0,0.7,0,0.4,0,0.01
5049,0,100,1.6,2.5,0,0.2,0.5,1.1,0,0.1,0,0.5,0,0.4,0,0.01
5050,0,100,1.1,1.8,0,0.25,0,0.1,0,0.2,0,0.7,0,0.4,0,0.01
5051,0,100,1.7,2.2,0,0.25,0,0.2,0,0.25,0,0.7,0,0.4,0,0.01
5052,0,100,2.2,2.8,0,0.1,0,0.1,0,0.1,0,0.4,0,0.25,0,0.01
5056,0,100,4.5,5.6,0,0.1,0.05,0.2,0,0.1,0,0.4,0,0.3,0,0.01
5058,0,100,4.5,5.6,0,0.2,0,0.2,0,0.1,0,0.5,0,0.4,0,0.01
